1500
'011084',1924,4,66.9,54 
'011084',1924,5,71.2,58.3 
'011084',1924,6,82.4,70 
'011084',1924,7,81.5,68.2 
'011084',1924,8,83.5,69.8 
'011084',1924,9,75.1,62.7 
'011084',1924,10,65,50.2 
'011084',1924,11,58.8,42.4 
'011084',1924,12,51.8,38.7 
'011084',1925,1,54.5,42.2 
'011084',1925,2,58.6,45.7 
'011084',1925,3,61.6,46.7 
'011084',1925,4,70,54.9 
'011084',1925,5,71.9,57 
'011084',1925,6,82.6,69.3 
'011084',1925,7,82.5,70.4 
'011084',1925,8,81.8,68 
'011084',1925,9,84.4,70.7 
'011084',1925,10,67.7,55.2 
'011084',1925,11,56,42.6 
'011084',1925,12,47,34 
'011084',1926,1,48.6,37.1 
'011084',1926,2,55.5,41.9 
'011084',1926,3,53.7,41.1 
'011084',1926,4,63.7,47.8 
'011084',1926,5,72.1,56.8 
'011084',1926,6,79.7,65.8 
'011084',1926,7,80.8,67.5 
'011084',1926,8,81.7,69.7 
'011084',1926,9,81.6,68.8 
'011084',1926,10,69.5,55.4 
'011084',1926,11,54.1,39.3 
'011084',1926,12,56.8,42.7 
'011084',1927,1,53,38.4 
'011084',1927,2,64.2,51.6 
'011084',1927,3,60.9,46.6 
'011084',1927,4,70.9,56.6 
'011084',1927,5,76.1,62.6 
'011084',1927,6,80.6,68.2 
'011084',1927,7,81.2,67.5 
'011084',1927,8,78.7,67.1 
'011084',1927,9,78.2,63.4 
'011084',1927,10,69,52 
'011084',1927,11,65.8,50.6 
'011084',1927,12,46.8,35.2 
'011084',1928,1,45.6,34 
'011084',1928,2,51.9,38.1 
'011084',1928,3,60.2,47.8 
'011084',1928,4,62.5,47.7 
'011084',1928,5,71.7,56.6 
'011084',1928,6,78.6,66.4 
'011084',1928,7,82.9,69.3 
'011084',1928,8,82.7,68.9 
'011084',1928,9,76.1,64 
'011084',1928,10,69.7,56.8 
'011084',1928,11,57.1,42.8 
'011084',1928,12,48.7,36.3 
'011084',1929,1,54.4,42.1 
'011084',1929,2,51.7,39 
'011084',1929,3,63.6,51 
'011084',1929,4,70.3,57.5 
'011084',1929,5,74.3,62.1 
'011084',1929,6,78.8,66.7 
'011084',1929,7,80.8,68.9 
'011084',1929,8,82,67.8 
'011084',1929,9,77.1,66.1 
'011084',1929,10,65.6,51.9 
'011084',1929,11,59.1,49.1 
'011084',1929,12,48.2,35.5 
'011084',1930,1,50.7,37.7 
'011084',1930,2,56.9,42.2 
'011084',1930,3,56,45 
'011084',1930,4,65.3,47.2 
'011084',1930,5,74.9,60.6 
'011084',1930,6,78.9,63.6 
'011084',1930,7,84.5,71.2 
'011084',1930,8,80.4,67.3 
'011084',1930,9,78.9,68.1 
'011084',1930,10,64.9,51.2 
'011084',1930,11,58.5,47.5 
'011084',1930,12,48.3,36.8 
'011084',1931,1,48.2,35.2 
'011084',1931,2,52.1,36.6 
'011084',1931,3,53.4,39.3 
'011084',1931,4,63.3,47.5 
'011084',1931,5,70.1,55.3 
'011084',1931,6,80.8,63.6 
'011084',1931,7,82.7,71.2 
'011084',1931,8,79.9,67 
'011084',1931,9,79.9,65.6 
'011084',1931,10,70.6,55.7 
'011084',1931,11,62.9,46 
'011084',1931,12,59.9,49.7 
'011084',1932,1,56.5,44.1 
'011084',1932,2,62.8,49.5 
'011084',1932,3,55,40.6 
'011084',1932,4,66.1,49.8 
'011084',1932,5,72,58.7 
'011084',1932,6,81.1,68.3 
'011084',1932,7,85,72.8 
'011084',1932,8,82.8,72.4 
'011084',1932,9,78,67.5 
'011084',1932,10,65,50.2 
'011084',1932,11,53.4,40 
'011084',1932,12,56.8,46.4 
'011084',1933,1,56.5,45.4 
'011084',1933,2,54.6,42.7 
'011084',1933,3,59.7,45.9 
'011084',1933,4,66.3,53.7 
'011084',1933,5,79,65.5 
'011084',1933,6,79.2,63.8 
'011084',1933,7,81.4,70.9 
'011084',1933,8,82.2,70.2 
'011084',1933,9,81.3,67 
'011084',1933,10,68.4,53.7 
'011084',1933,11,57.9,41.6 
'011084',1933,12,58.4,44 
'011084',1934,1,52.9,40.1 
'011084',1934,2,50.7,35.9 
'011084',1934,3,58,43.5 
'011084',1934,4,68,56 
'011084',1934,5,74.2,61.6 
'011084',1934,6,82.6,68.9 
'011084',1934,7,83.9,71.1 
'011084',1934,8,82.9,69.9 
'011084',1934,9,77.1,60.8 
'011084',1934,10,70,55.2 
'011084',1934,11,59.9,43.8 
'011084',1934,12,51.2,38 
'011084',1935,1,52.7,39.2 
'011084',1935,2,53.1,37.5 
'011084',1935,3,65.3,51.4 
'011084',1935,4,69,54.9 
'011084',1935,5,76.9,63.2 
'011084',1935,6,79.9,65.6 
'011084',1935,7,83.3,70.6 
'011084',1935,8,83.6,71.7 
'011084',1935,9,76.8,63.5 
'011084',1935,10,69.8,53.2 
'011084',1935,11,58.8,43.5 
'011084',1935,12,44.2,30.6 
'011084',1936,1,50.2,38.1 
'011084',1936,2,51.5,39.3 
'011084',1936,3,61.3,47.3 
'011084',1936,4,66.2,53.3 
'011084',1936,5,74.3,61 
'011084',1936,6,82.3,66.5 
'011084',1936,7,82.2,70 
'011084',1936,8,81.3,68.4 
'011084',1936,9,80.5,67.1 
'011084',1936,10,70.2,55.2 
'011084',1936,11,55.7,41.7 
'011084',1936,12,50.3,39.6 
'011084',1937,1,62.4,53.7 
'011084',1937,2,50.7,38.9 
'011084',1937,3,55.9,42.2 
'011084',1937,4,65,51.9 
'011084',1937,5,73.5,61.2 
'011084',1937,6,81.4,67.9 
'011084',1937,7,81.1,67.9 
'011084',1937,8,82.2,69.4 
'011084',1937,9,76.6,63.2 
'011084',1937,10,66.8,52.2 
'011084',1937,11,53.5,40.2 
'011084',1937,12,50.3,37.4 
'011084',1938,1,51.4,39.9 
'011084',1938,2,57.8,43.4 
'011084',1938,3,66.6,53.8 
'011084',1938,4,66.7,52.2 
'011084',1938,5,75.4,61.8 
'011084',1938,6,79.7,65.8 
'011084',1938,7,81.8,70.2 
'011084',1938,8,83.3,69.6 
